Business_Unit_Desc,Energy_Description,electricity_kWh,Month,Monthly_Air_Temp,Monthly_Cooling_Degree_Days,Monthly_Heating_Degree_Days
"Calgary Fire Department",Electricity,654,1,-6.867741935,0,770.9
"Calgary Fire Department",Electricity,543,2,-12.4,0,851.2
"Calgary Fire Department",Electricity,460,3,-5.806451613,0,738
"Calgary Fire Department",Electricity,381,4,0.976666667,0,510.7
"Calgary Fire Department",Electricity,355,5,14.12258065,11.2,131.4
"Calgary Fire Department",Electricity,306,6,14.93666667,6.8,98.7
"Calgary Fire Department",Electricity,321,7,17.14516129,26.4,52.9
"Calgary Fire Department",Electricity,398,8,16.65483871,33.8,75.5
"Calgary Fire Department",Electricity,461,9,6.756666667,0,337.3
"Calgary Fire Department",Electricity,543,10,3.593548387,0,446.6
"Calgary Fire Department",Electricity,591,11,-0.656666667,0,559.7
"Calgary Fire Department",Electricity,636,12,-3.516129032,0,667
"Calgary Parking Auth",Electricity,199,1,-6.867741935,0,770.9
"Calgary Parking Auth",Electricity,172,2,-12.4,0,851.2
"Calgary Parking Auth",Electricity,158,3,-5.806451613,0,738
"Calgary Parking Auth",Electricity,154,4,0.976666667,0,510.7
"Calgary Parking Auth",Electricity,28,5,14.12258065,11.2,131.4
"Calgary Parking Auth",Electricity,213,6,14.93666667,6.8,98.7
"Calgary Parking Auth",Electricity,136,7,17.14516129,26.4,52.9
"Calgary Parking Auth",Electricity,157,8,16.65483871,33.8,75.5
"Calgary Parking Auth",Electricity,134,9,6.756666667,0,337.3
"Calgary Parking Auth",Electricity,210,10,3.593548387,0,446.6
"Calgary Parking Auth",Electricity,241,11,-0.656666667,0,559.7
"Calgary Parking Auth",Electricity,251,12,-3.516129032,0,667
"Calgary Transit",Electricity,346,1,-6.867741935,0,770.9
"Calgary Transit",Electricity,316,2,-12.4,0,851.2
"Calgary Transit",Electricity,260,3,-5.806451613,0,738
"Calgary Transit",Electricity,181,4,0.976666667,0,510.7
"Calgary Transit",Electricity,177,5,14.12258065,11.2,131.4
"Calgary Transit",Electricity,151,6,14.93666667,6.8,98.7
"Calgary Transit",Electricity,165,7,17.14516129,26.4,52.9
"Calgary Transit",Electricity,198,8,16.65483871,33.8,75.5
"Calgary Transit",Electricity,217,9,6.756666667,0,337.3
"Calgary Transit",Electricity,256,10,3.593548387,0,446.6
"Calgary Transit",Electricity,299,11,-0.656666667,0,559.7
